"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Cited by","DOI","Link","Abstract","Author Keywords","Index Keywords","Document Type","Publication Stage","Open Access","Source","EID"
"Chu X.; Li K.; Jia X.; Yang J.; Kang J.","Chu, Xiao (57687036000); Li, Kai (59039993300); Jia, Xiaohong (35487759800); Yang, Jieyin (58761018600); Kang, Jiarui (59768758700)","57687036000; 59039993300; 35487759800; 58761018600; 59768758700","Computing the intersection of two ellipsoids based on a fast algebraic topology determination strategy","2025","Computer Aided Geometric Design","119","","102442","","","2","10.1016/j.cagd.2025.102442","https://www.scopus.com/pages/publications/105004219795?origin=resultslist","Ellipsoids serve as the most commonly used geometric primitives and bounding volumes in computer-aided design and computer graphics, where an efficient and topologically stable intersection algorithm between two ellipsoids is highly required. Although there has been extensive research on intersections of two general quadrics, ellipsoids have their own specialty in both algebra and geometry which guides to new possibilities to break the bottleneck in intersection computation. In this paper, we use a topology-determination-based strategy in computing the intersection of ellipsoids. Firstly, the topology of the intersection curve is quickly determined using some algebraic discriminants without computing any point on the intersection curve; then an octree strategy is applied to efficiently compute at least one point on each intersection branch; finally, by tracing the branch, we get the complete intersection loci. Plenty of examples show that our algorithm is topologically stable when facing challenging cases including multi-branches, small loops, singular or tangent intersections, and is more efficient compared with existing algorithms. © 2025 Elsevier B.V.","Ellipsoids; Intersection; Octree; Topology determination","Computational geometry; Digital arithmetic; Topology; Algebraic topology; Bounding volume; Complete intersection; Computer-aided design; Ellipsoid; Geometric primitives; Intersection algorithms; Intersection curves; Octrees; Topology determination; Algebra","Article","Final","","Scopus","2-s2.0-105004219795"
"Wang S.; Liu X.B.","Wang, Sihan (60263477600); Liu, Xiao Bao (24465376100)","60263477600; 24465376100","Design and Optimization of Vertical Steering Cam Mechanism for IoT Automated Warehouse Shuttle Vehicle Based on MATLAB-SolidWorks","2025","Proceedings of 2025 3rd International Conference on Internet of Things and Cloud Computing Technology, IoTCCT 2025","","","","116","121","0","10.1145/3776865.3776886","https://www.scopus.com/pages/publications/105026338666?origin=resultslist","To address the inflexibility and large pressure angle fluctuations in the steering mechanism of shuttle cars in automated stereoscopic warehouses, this study proposes a vertical cam-based steering mechanism using computer-aided design and simulation. A mathematical model of the cam mechanism is established in MATLAB to derive parametric equations of the cam groove trajectory. Kinematic analysis is performed to examine variations in key parameters such as the pressure angle and contact force. Through parametric analysis and automated optimization in Python, the extreme values of the pressure angle are improved, its fluctuation range is reduced, and the risk of mechanism self-locking is minimized. Three-dimensional modeling and simulation in SolidWorks verify the theoretical design. This study proposes a novel direct steering method for shuttle vehicles based on cam mechanisms, which breaks through the technical limitations of traditional lifting wheel modes. Through parametric design and multi-software collaborative simulation, the dynamic characteristics of the mechanism have been significantly improved, thoroughly resolving the dead point issue during the steering process. Ultimately, the deep integration of mechanism design and IoT technology has been achieved, providing an innovative solution for intelligent warehousing systems. © 2025 Copyright held by the owner/author(s).","Parametric modeling; Pressure angle; Shuttle car; Vertical steering cam mechanism","Automobile steering equipment; Cams; Computer aided design; Locks (fasteners); Machine design; MATLAB; Object oriented programming; Steering; Stereo image processing; Three dimensional computer graphics; Warehouses; Automated warehouse; Cam mechanism; Computer aided simulations; Design and optimization; Parametric models; Pressure angles; Shuttle car; SolidWorks; Steering mechanisms; Vertical steering cam mechanism; Automation","Conference paper","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105026338666"
"Ahmed S.E.; Almekhlafi A.; Abulibdeh E.; Almarashdi H.S.; Libdeh F.A.","Ahmed, Soraya Elsayed (60684394700); Almekhlafi, Abdurrahman (15729401400); Abulibdeh, Enas (54395007700); Almarashdi, Hanan Shaher (57214135799); Libdeh, Farah Abu (58078827200)","60684394700; 15729401400; 54395007700; 57214135799; 58078827200","Integration of Digital Vector Drawing Tools in Mathematics Education: Teachers' Perceptions and Challenges in UAE Private School","2025","ACIT 2025 - 26th International Arab Conference on Information Technology, Conference Proceedings","","","","1104","1110","0","10.1109/ACIT68900.2025.11510640","https://www.scopus.com/pages/publications/105041435786?origin=resultslist","This study explores the integration of digital vector drawing tools, such as Adobe Illustrator, into the mathematics classroom for illustrating geometry, mathematical transformations, creating digital visual aids, and learning activities. Vector graphics offer advantages over pixel images by enabling interactive illustrations, which help teachers design digital manipulatives that clarify abstract math concepts. The prototype of the e-learning module, which contains six-unit modules, was introduced to mathematics teachers in the UAE, covering topics such as grid creation, basic shape drawings with annotations, complex shape construction, transformation, image tracing, graphs, and 2D-to-3D modeling. The researcher employed both open-ended and closed-ended questions to examine teachers' perspectives on the role of vector drawing tools across three dimensions: improving visualization and expanding capabilities beyond traditional presentation, as outlined in the SAMR model; potential to transform pedagogy, increasing student motivation, and promoting active learning by meaningful technology integration according to the TPACK model, and fostering 21stcentury competencies according to Microsoft 21 century learning design framework. Teachers expressed approval across all aspects of vector drawing tool integration, with the highest agreement for STEM projects, although some obstacles, such as limited time and curriculum integration, hindered consistent implementation. The results highlight the need for professional development and curriculum alignment to leverage digital vector drawing as an instructional and design medium for mathematical practice within innovative learning Keywords: Mathematics education, Illustrations, digital Vector drawing, Geometry, Visualization, 21st-century skills, Technology integration, STEM, TPACK, SAMR environments. © 2025 IEEE.","21st-century skills; digital Vector drawing; Geometry; Illustrations; Mathematics education; SAMR; STEM; Technology integration; TPACK; Visualization","3D modeling; Computer aided instruction; Curricula; Drawing (graphics); E-learning; Education computing; Engineering education; Geometry; Integration; Students; Teaching; Three dimensional computer graphics; Vectors; 21st-century skill; Digital vector drawing; Drawing tools; Illustration; Mathematics education; SAMR; STEM; Teachers'; Technology Integration; TPACK; Visualization","Conference paper","Final","","Scopus","2-s2.0-105041435786"
"Sun Y.; Liu X.; He Z.; Zhang J.; Wu C.; Lu G.; Li J.","Sun, Yue (59261281900); Liu, Xinqi (57218423467); He, Zhiliang (59542488400); Zhang, Jialu (59262017300); Wu, Chenming (57192425548); Lu, Guodong (7403460036); Li, Jituo (24385239000)","59261281900; 57218423467; 59542488400; 59262017300; 57192425548; 7403460036; 24385239000","DAFU-CAD: Depth-assisted Feature Unraveling for Sketch-based Robust CAD Modeling","2025","MM 2025 - Proceedings of the 33rd ACM International Conference on Multimedia, Co-Located with MM 2025","","","","8008","8017","2","10.1145/3746027.3755252","https://www.scopus.com/pages/publications/105024062052?origin=resultslist","Sketching is a quick ideation and multimedia tool for effectively expressing design intent. By translating simple strokes into CAD models, it allows non-expert users to create editable designs, reducing the learning curve associated with traditional CAD software. However, current sketch-based CAD modeling methods are often limited to basic shapes and require structured inputs, making them less robust when dealing with varied sketch styles. To overcome these challenges, we propose a novel sketch-based modeling framework DAFU-CAD, that is both efficient and robust. Our approach features a Depth-Assisted and Feature-Unraveling sketch classification module that categorizes sketches into corresponding modeling operations, independent of their drawing style. A parameter regression and optimization module then estimates the modeling parameters, ensuring consistent and stable model reconstruction across different sketch inputs. To support this, we compile a diverse sketch dataset with a range of modeling categories and abstraction levels. Experimental results show that our method outperforms existing approaches in terms of both robustness and versatility. © 2025 ACM.","cad modeling; multi-modality modeling; sketch recognition; sketch-based modeling","Drawing (graphics); Multimedia systems; CAD modeling; CAD models; Cad-modelling; Design intent; Multi-modality; Multi-modality modeling; Multimedia tool; Sketch recognition; Sketch-based modeling; Sketchings; Computer aided design","Conference paper","Final","","Scopus","2-s2.0-105024062052"
"Guriţă A.-E.","Guriţă, Alexandra-Elena (57210108668)","57210108668","Exploring the Intersection of UI Accessibility and Generative AI: A Framework for Human-AI Collaboration","2025","DIS 2025 - Companion Proceedings of the 2025 ACM Designing Interactive Systems Conference: Designing for a Sustainable Ocean","","","","116","120","2","10.1145/3715668.3735617","https://www.scopus.com/pages/publications/105012171147?origin=resultslist","Despite decades of accessibility guidelines, digital interfaces remain largely inaccessible, with over 95% of websites failing basic WCAG standards. My doctoral research examines how generative Al transforms accessibility implementation by investigating how Al-driven tools comply with accessibility standards, what patterns emerge in human-Al collaboration for accessible design, and how we can develop frameworks to guide Al systems toward more accessible outcomes. Through mixed-method studies-evaluating Al-generated interfaces, challenging Al's understanding of accessibility principles, and interviewing professional designers I've identified key compliance patterns, discovered Al limitations, and developed novel interactive prompt engineering methods. This work contributes both theoretical understanding of human-AI collaboration and practical frameworks for integrating generative AI into accessible interface design workflows. © 2025 Copyright is held by the owner/author(s)","Accessibility; AI-Generated Interfaces; Design tools; Generative AI; Prompt engineering; User Interface Design; WCAG","Aluminum; Aluminum alloys; Artificial intelligence; Computer aided design; Human computer interaction; Human engineering; Information systems; Interactive computer graphics; Interactive computer systems; Professional aspects; Software design; Accessibility; Accessibility guidelines; AI-generated interface; Design tool; Digital interfaces; Doctoral research; Generative AI; Prompt engineering; User interface designs; WCAG; User interfaces","Conference paper","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105012171147"
"Ku.sahu P.; Ratchagar N.P.; Bhalla A.; Delsy T T.M.; Mishra A.; Pallavi P.","Ku.sahu, Prabhat (60422400800); Ratchagar, Noel Prashant (55650106600); Bhalla, Anubhav (58195221200); Delsy T, Thaj Mary (56584594600); Mishra, Abhinav (58276759600); Pallavi, Pallavi (57217636206)","60422400800; 55650106600; 58195221200; 56584594600; 58276759600; 57217636206","VLSI Architecture Implementation of Selective Level Skip Discrete Wavelet Transform for Efficient Lossy Image Compression","2025","2025 IEEE Madhya Pradesh Section Conference, MPCON 2025","","","","463","468","0","10.1109/MPCON66082.2025.11256597","https://www.scopus.com/pages/publications/105031359620?origin=resultslist","An innovative method for building a consistent 9/7 wavelet architecture based on the 2D-Discrete Wavelet Transform (2D-DWT) is presented in this section. The effective performance of the wavelet transformation approach is preserved while the computing expenses and requirements for the hardware are reduced using the suggested technique. A key component of the design is the uplifting system, which includes the following procedures: split up forecast that modify, and scale. These coefficients for intricacy and approximations can be efficiently computed by dividing the samples that are input between odd and even elements. The technique uses a block-based scanned technique for the updating component and an overlapping block-based scanned method for the forecasting block. There are fewer processes needed and less demand for temporary storage thanks to this architecture. In comparison to other approaches, the suggested methodology achieves a far greater overall accuracy of 99%.  © 2025 IEEE.","2D-DWT; Area; DWT; FPGA; IWT; power; speed; VLSI","Architecture; Computer aided design; Computer graphics; Discrete wavelet transforms; Embedded systems; Integrated circuit design; Microelectronics; 2-d discrete wavelet transforms; Area; Block based; Discrete-wavelet-transform; DWT; IWT; Lossy image compression; Power; VLSI; Vlsi architecture; Image compression; VLSI circuits","Conference paper","Final","","Scopus","2-s2.0-105031359620"
"Ebrahimi A.N.; Ramaprasad H.","Ebrahimi, Arghavan Nova (58000952700); Ramaprasad, Harini (8838997000)","58000952700; 8838997000","Student Experiences in Online Learning Environments: A Comparative Study of Virtual Worlds and Video Conferencing Platforms","2025","2025 IEEE Digital Education and MOOCS Conference, DEMOcon 2025","","","","","","0","10.1109/DEMOcon65705.2025.11282545","https://www.scopus.com/pages/publications/105031895476?origin=resultslist","As educational technologies evolve, understanding how different digital platforms affect learning experiences becomes increasingly important for successful digital education implementation. Despite the widespread adoption of both video conferencing platforms and desktop virtual worlds (DVWs) in online education, limited research examines comparative student experiences across these environments. To address this gap, this study explores: How do students' learning experiences in DVWs differ from those in video conferencing platforms?Through three focus group studies with students experienced in both platform types, we conducted a thematic analysis to examine their comparative learning experiences. Our analysis of the collected data identified distinct complementary advantages in each environment. DVWs offer two key strengths: (1) Spatial agency and freedom of movement, enabling autonomous navigation, spontaneous interactions, and immersive engagement that create flow states; and (2) Student-centered learning and creativity, facilitating horizontal power structures, creative expression through avatar customization and environmental building, and collaborative co-creation projects.Conversely, video conferencing platforms demonstrate two key advantages: (1) Streamlined design and usability, providing efficient communication, easy setup, and technical reliability; and (2) Structured learning advantages, offering focused attention for content delivery, formal presentation contexts, and instructor-centered learning models that support traditional pedagogical approaches.Our findings suggest that their strengths address different educational needs and contexts. Rather than positioning these platforms as competing alternatives, our research suggests an integrated approach leveraging the affordances of each environment based on specific learning objectives, activity duration, and student characteristics.  © 2025 IEEE.","Affordances; Avatar-based Interaction; Desktop Virtual Worlds; Digital Education; Educational Technology; Human-computer Interaction; Interaction Design; Online Learning; Spatial Presence; Student Experience; Video Conferencing; Virtual Learning Environments","Collaborative learning; Computer aided instruction; E-learning; Education computing; Educational technology; Engineering education; Human computer interaction; Interactive computer graphics; Learning systems; Online conferencing; Students; Teaching; Virtual addresses; Virtual environments; Virtual reality; Affordances; Avatar-based interaction; Computer interaction; Desktop virtual world; Digital education; Interaction design; Online learning; Spatial presence; Student experiences; Video-conferencing; Virtual learning environments; Virtual worlds; Video conferencing","Conference paper","Final","","Scopus","2-s2.0-105031895476"
"Youn H.J.; Sara S.X.W.; Ishii H.","Youn, Hye Jun (57672504100); Sara, Serena Xin Wei (60174843100); Ishii, Hiroshi (26660877000)","57672504100; 60174843100; 26660877000","PixBric: Precision Morphological Control of Pre-Stretched Fabrics Through Tessellated Primitive Geometries","2025","UIST Adjunct 2025 - Proceedings of the 38th Annual ACM Symposium on User Interface Software and Technology","","","155","","","1","10.1145/3746058.3758421","https://www.scopus.com/pages/publications/105020859450?origin=resultslist","3D printing patterns onto pre-stretched fabrics has emerged as a promising method for the rapid fabrication of self-shaping textiles. However, the influence of design parameters on morphing behavior remains insufficiently explored, often resulting in heuristic-driven decisions. This study introduces PixBric, a pixel-based textile methodology composed of primitive geometries designed to induce controlled morphing behaviors-such as undulation and bending-and mechanical properties including multistability. By parametrically adjusting geometry, thickness, and inter-pixel spacing, PixBric enables precise morphing outcomes. The framework includes a morphing simulation tool and a design chart linking geometric variables to deformation results. We also propose a streamlined fabrication protocol using biaxial pre-stretching with magnetic framing. These contributions establish a systematic design approach for the functional and interactive deployment of self-shaping textile structures. © 2025 Copyright held by the owner/author(s).","Additive manufacturing; Multi-stability Tessellation; Pre-programmed structure; Self-Shaping; Tangible Interfaces HCI; Textile","Computer aided design; Fabrics; Geometry; Human computer interaction; Human engineering; Interactive computer graphics; Mathematical morphology; Morphology; Structural design; Textile industry; Textile printing; 3-D printing; 3D-printing; Morphing; Morphological control; Multi-stability tessellation; Multistability; Pre-programmed structure; Self-shaping; Tangible interface HCI; Tangible interfaces; Pixels","Conference paper","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105020859450"
"Qiu Z.; Liu J.; Xia Y.; Qi H.; Liu P.","Qiu, Zijin (58831423100); Liu, Jiepeng (56735728200); Xia, Yi (59532458700); Qi, Hongtuo (26659170700); Liu, Pengkun (57719392300)","58831423100; 56735728200; 59532458700; 26659170700; 57719392300","Text semantics to controllable design: A residential layout generation method based on stable diffusion model","2025","Developments in the Built Environment","23","","100691","","","12","10.1016/j.dibe.2025.100691","https://www.scopus.com/pages/publications/105009233644?origin=resultslist","Controlling flexibility and design effectiveness is challenging in artificial intelligence-based residential layout design. Compared to the previous rule-based or graph-based generation methods, this paper proposes a controllable multimodal approach based on the Stable Diffusion model for generating residential layouts. This method incorporates natural language as design constraints and introduces ControlNet, which enables the generation of controllable layouts through two distinct pathways. A knowledge graph and natural language mapping scheme is proposed to provide an interpretable representation of the design knowledge encapsulated in the knowledge graph. The comprehensibility of natural language and the diversity of input options enable professionals and non-professionals to directly express design requirements, thereby providing a flexible and controllable design method. Finally, comparative and ablation experiments verify the controllability and diversity of the two proposed design paths under multimodal constraints. © 2025","Knowledge graph; Multimodal generative design; Natural language processing; Residential layout generation; Stable diffusion model","Computer aided design; Diffusion; Graphic methods; Housing; Knowledge graph; Semantics; Text processing; Diffusion model; Generative design; Knowledge graphs; Language processing; Layout generations; Multi-modal; Multimodal generative design; Natural language processing; Natural languages; Residential layout generation; Stable diffusion model; Natural language processing systems","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105009233644"
"Gandhi S.; Sheth V.; Sahu S.; Singh R.; Lopes H.","Gandhi, Shrey (60571487000); Sheth, Vidhi (60570591400); Sahu, Shruti (60571127300); Singh, Rishabh (60571127400); Lopes, Hezal (56267723000)","60571487000; 60570591400; 60571127300; 60571127400; 56267723000","Mind Matters: AI Driven Advanced Diagnostic of Mental Health","2025","2025 IEEE 2nd International Conference on Green Industrial Electronics and Sustainable Technologies, GIEST 2025","","","","","","0","10.1109/GIEST66547.2025.11387517","https://www.scopus.com/pages/publications/105035306571?origin=resultslist","Mental health disorders are becoming a global concern and there is a need for accessible, reliable and secure diagnostic tools to encourage early detection and intervention. Traditional mental health assessments rely on in-person evaluations and self-report surveys which may be time consuming, cost prohibitive and sometimes biased. Existing digital solutions often lack advanced security mechanisms and fail to provide personalized therapeutic guidance. The research outlines the development of a comprehensive medical diagnostic platform that integrates machine learning algorithms and principles of user-centric design. Founded in 2012 the proposed platform evaluates user responses to a set of well-designed psychological questions, calculates scores relevant to different conditions and rates the severity of disorders such as ADHD, OCD, clinical depression, PTSD, dementia, schizophrenia, bipolar disorder, and anxiety disorders. It also offers an intuitive GUI that allows easy interaction, provide real-time feedback a large array of colors and graphic representations of result. In addition, it provides individualized therapeutic suggestions and connects users with qualified mental health professionals. It utilizes technologies like random forests, support vector machines (SVM), natural language processing techniques to ensure accurate diagnostics, data privacy, and improved user trust. A Linear Regression model demonstrated high accuracy in detecting mental health disorders while an SVM model performed well in severity classification. Preliminary testing on the effectiveness, reliability, and accessibility of the tool proves very promising in dealing with mental issues and proactive care. © 2025 IEEE.","AI driven diagnostics; Digital health assessment; Linear Regression; Machine Learning; Mental health diagnosis; Natural Language Processing (NLP); psychological evaluation; Random Forest; Support Vector Machine (SVM)","Computer aided diagnosis; Data privacy; Diseases; Learning algorithms; Learning systems; Machine learning; Natural language processing systems; AI driven diagnostic; Digital health assessment; Health assessments; Health diagnosis; Language processing; Machine-learning; Mental health; Mental health diagnose; Natural language processing; Natural languages; Psychological evaluation; Random forests; Support vector machine; Support vectors machine; Linear regression","Conference paper","Final","","Scopus","2-s2.0-105035306571"
"Zou Q.; Zhu L.","Zou, Qiang (57203216238); Zhu, Lizhen (59363233700)","57203216238; 59363233700","Bringing Attention to CAD: Boundary Representation Learning via Transformer","2025","CAD Computer Aided Design","189","","103940","","","5","10.1016/j.cad.2025.103940","https://www.scopus.com/pages/publications/105014549301?origin=resultslist","The recent rise of generative artificial intelligence (AI), powered by Transformer networks, has achieved remarkable success in natural language processing, computer vision, and graphics. However, the application of Transformers in computer-aided design (CAD), particularly for processing boundary representation (B-rep) models, remains largely unexplored. To bridge this gap, we propose a novel approach for adapting Transformers to B-rep learning, called the Boundary Representation Transformer (BRT). B-rep models pose unique challenges due to their irregular topology and continuous geometric definitions, which are fundamentally different from the structured and discrete data Transformers are designed for. To address this, BRT proposes a continuous geometric embedding method that encodes B-rep surfaces (trimmed and untrimmed) into Bézier triangles, preserving their shape and continuity without discretization. Additionally, BRT employs a topology-aware embedding method that organizes these geometric embeddings into a sequence of discrete tokens suitable for Transformers, capturing both geometric and topological characteristics within B-rep models. This enables the Transformer's attention mechanism to effectively learn shape patterns and contextual semantics of boundary elements in a B-rep model. Extensive experiments demonstrate that BRT achieves state-of-the-art performance in part classification and feature recognition tasks. © 2025 Elsevier Ltd","B-rep learning; Boundary representation models; Computer-aided design; Deep learning; Transformer","Arts computing; Computer aided design; Computer aided instruction; Computer graphics; Embeddings; Geometry; Natural language processing systems; Semantics; Topology; Boundary representation learning; Boundary representation models; Boundary representations; Computer-aided design; Deep learning; Embedding method; Geometric embedding; Language processing; Natural languages; Transformer; Deep learning","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-105014549301"
"Li M.; Li J.; Chen H.; Cao D.; Sahin K.; Mueller S.","Li, Mingming (57961192900); Li, Jiaji (57218765210); Chen, Haotian (57188668631); Cao, Dingning (60174978500); Sahin, Karla (60175490200); Mueller, Stefanie (55479874800)","57961192900; 57218765210; 57188668631; 60174978500; 60175490200; 55479874800","Integrating Motion Sensing into 3D-Printed Bending Structures","2025","UIST Adjunct 2025 - Proceedings of the 38th Annual ACM Symposium on User Interface Software and Technology","","","148","","","2","10.1145/3746058.3758350","https://www.scopus.com/pages/publications/105020849638?origin=resultslist","We present a design and fabrication method for converting static 3D models into motion-capable, self-sensing structures using multi-material FDM 3D printing. Our method allows users to configure deformation behaviors, automatically generate printable circuits, and fabricate interactive objects using 3D printing in a single step without post-assembly or manual sensor integration. The 3D-printed circuits enable real-time detection of bending motions through a time-division multiplexing (TDM) circuit scheme. We demonstrate the effectiveness of our approach through sensing performance evaluation and several application examples. © 2025 Copyright held by the owner/author(s).","3D printing; Design tool; Personal fabrication; Sensors; Shape-changing interfaces","3D modeling; Computer aided design; Human computer interaction; Human engineering; Interactive computer graphics; Interactive computer systems; Motion sensors; Printed circuit design; Structural design; Three dimensional computer graphics; 3-D printing; 3d-modeling; 3D-printing; Bending structures; Design method; Design tool; Fabrication method; Motion sensing; Personal fabrication; Shape-changing interface; Time division multiplexing","Conference paper","Final","All Open Access; Green Open Access","Scopus","2-s2.0-105020849638"
"Kahng A.B.; Wang Z.","Kahng, Andrew B. (7005728278); Wang, Zhiang (57441715100)","7005728278; 57441715100","DG-RePlAce: A Dataflow-Driven GPU-Accelerated Analytical Global Placement Framework for Machine Learning Accelerators","2025","IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems","44","2","","696","708","11","10.1109/TCAD.2024.3436521","https://www.scopus.com/pages/publications/85200259816?origin=resultslist","Global placement (GP) is a fundamental step in VLSI physical design. The wide use of 2-D processing element (PE) arrays in machine learning accelerators poses new challenges of scalability and quality of results (QoR) for state-of-the-art academic global placers. In this work, we develop DG-RePlAce, a new and fast GPU-accelerated GP framework built on top of the OpenROAD infrastructure, which exploits the inherent dataflow and datapath structures of machine learning accelerators. Experimental results with a variety of machine learning accelerators using a commercial 12-nm enablement show that, compared with RePlAce (DREAMPlace), our approach achieves an average reduction in routed wirelength by 10%~(7%) and total negative slack (TNS) by 31%~(34%) , with faster GP and on-par total runtimes relative to DREAMPlace. Empirical studies on the TILOS MacroPlacement Benchmarks further demonstrate that post-route improvements over RePlAce and DREAMPlace may reach beyond the motivating application to machine learning accelerators.  © 1982-2012 IEEE.","Dataflow; GPU acceleration; physical design (EDA); VLSI placement","Benchmarking; Computer aided design; Graphics processing unit; Machine learning; Systolic arrays; Dataflow; Design automations; Element array; Global placements; GPU-accelerated; Machine-learning; Pin; Processing elements; Runtimes; VLSI physical design; Logic gates","Article","Final","","Scopus","2-s2.0-85200259816"
"Gkini E.; Tsaousis P.; Sgouropoulou C.; Voyiatzis I.","Gkini, Evgenia (57475443400); Tsaousis, Panagiotis (59998892200); Sgouropoulou, Cleo (6507133031); Voyiatzis, Ioannis (18438856600)","57475443400; 59998892200; 6507133031; 18438856600","Enhancing Informatics Education Through a Serious Game: Design, Development, and Pedagogical Impact","2025","Proceedings - 28th Pan-Hellenic Conference on Progress in Computing and Informatics with International Participation, PCI 2024","","","","296","300","1","10.1145/3716554.3716832","https://www.scopus.com/pages/publications/105010773731?origin=resultslist","Teaching informatics across educational levels poses significant challenges, particularly in maintaining student engagement and ensuring the effective understanding of fundamental concepts. In this paper, we present ""CodeQuest: Escape the Lab,""a virtual reality (VR)-based serious game developed using Unity and C#. The game is designed to enhance the learning of core programming concepts - control structures, loops, and arrays - through interactive and immersive gameplay. It guides students through increasingly complex programming challenges within a VR simulation of a lab at the University of West Attica. Initial user experience (UX) testing with our research group and a small group of students demonstrated positive engagement, though larger-scale testing is planned for the academic year 2024-2025. During this trial, first-year students will be divided into control and experimental groups, with the latter using the game as a supplementary tool. At the end of the semester, the effectiveness of the game will be evaluated by comparing the performance of the two groups through educational assessments. The results are expected to provide valuable insights into the role of serious games in informatics education. © 2024 Copyright held by the owner/author(s).","Immersive Learning Environment; Informatics; Serious Games","C (programming language); Computer aided instruction; Education computing; Human computer interaction; Informatics; Interactive computer graphics; Learning systems; Students; Teaching; User experience; User interfaces; Virtual reality; Design development; Educational levels; Fundamental concepts; Immersive learning; Immersive learning environment; Informatics; Informatics education; Learning environments; Serious games designs; Student engagement; Serious games","Conference paper","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105010773731"
"Fang D.; Hlavacs H.","Fang, Dongzhou (60409023100); Hlavacs, Helmut (6506041648)","60409023100; 6506041648","Teaching the Solar System with a Video Game","2025","Proceedings of the European Conference on Games-based Learning","19","2","","1000","1008","0","10.34190/ecgbl.19.2.3966","https://www.scopus.com/pages/publications/105030659268?origin=resultslist","This paper presents the design and development of an educational game centred on the solar system, aiming to combine scientific accuracy with engaging gameplay. With the advancement of technology, Game-Based Learning (GBL) has gained increasing traction as an effective supplement to traditional education. Digital games set in virtual environments have demonstrated their ability to boost learner engagement and enhance knowledge retention. However, topics like the solar system often remain abstract and challenging for students, due to complex concepts such as planetary motion, gravitational forces, and spatial scales. To address these challenges, this project leverages GBL principles and scientific simulation techniques to create an immersive learning experience. Players engage in exploratory missions where they defend the solar system’s resources while learning core astronomical concepts. The game environment is designed to promote active learning through interaction, strategy, and problem-solving, fostering a deeper understanding of planetary science. This paper explores the theoretical foundations behind game-based learning and its application to science education. It further details the design methodology, including scientific modelling, gameplay mechanics, and narrative elements that support learning outcomes. The game integrates interactive features such as dynamic simulations, visual storytelling, and progressive challenges that align with key educational goals. Special emphasis is placed on ensuring that educational content is seamlessly embedded within the game experience, avoiding didactic interruptions that may hinder player immersion. The research is guided by four key questions: How can complex astronomical knowledge be effectively conveyed through a game? How can developers maintain a balance between scientific accuracy and engaging gameplay? Can this game improve players’ comprehension and interest in solar system science? What methods can be used to assess the game's impact on learning outcomes? The findings aim to contribute to the growing field of educational technology by providing insights into the integration of accurate scientific content within interactive digital games, ultimately enhancing science education through innovative and immersive methods. © 2025 Dechema e.V.. All rights reserved.","Education game; Game; Game-Based learning (GBL); Scientific simulation; Solar system game; STEM learning","Computer aided instruction; Computer games; E-learning; Education computing; Engineering education; Human computer interaction; Interactive computer graphics; Knowledge management; Learning systems; Problem solving; Solar system; Virtual reality; Digital games; Education game; Game; Game-based Learning; Gameplay; Science education; Scientific simulations; Solar system game; STEM learning; Gravitation","Conference paper","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105030659268"
"Yin H.; Plocharski A.; Wlodarczyk M.J.; Kida M.; Musialski P.","Yin, Haotian (59408982600); Plocharski, Aleksander (58754685300); Wlodarczyk, Michal Jan (60012583900); Kida, Mikolaj (60012459500); Musialski, Przemyslaw (6504050019)","59408982600; 58754685300; 60012583900; 60012459500; 6504050019","FlatCAD: Fast Curvature Regularization of Neural SDFs for CAD Models","2025","Computer Graphics Forum","44","7","e70249","","","3","10.1111/cgf.70249","https://www.scopus.com/pages/publications/105018520000?origin=resultslist","Neural signed-distance fields (SDFs) are a versatile backbone for neural geometry representation, but enforcing CAD-style developability usually requires Gaussian-curvature penalties with full Hessian evaluation and second-order differentiation, which are costly in memory and time. We introduce an off-diagonal Weingarten loss that regularizes only the mixed shape operator term that represents the gap between principal curvatures and flattens the surface. We present two variants: a finite-difference version using six SDF evaluations plus one gradient, and an auto-diff version using a single Hessian-vector product. Both converge to the exact mixed term and preserve the intended geometric properties without assembling the full Hessian. On the ABC benchmarks the losses match or exceed Hessian-based baselines while cutting GPU memory and training time by roughly a factor of two. The method is drop-in and framework-agnostic, enabling scalable curvature-aware SDF learning for engineering-grade shape reconstruction. Our code is available at https://flatcad.github.io/. © 2025 Eurographics - The European Association for Computer Graphics and John Wiley & Sons Ltd.","CCS Concepts; Machine learning algorithms; Regularization; • Computing methodologies → Shape modeling","Computer aided design; Computer graphics; Geometry; Learning systems; Machine learning; Neural networks; CAD models; CCS concept; Computing methodologies; Developability; Geometry representation; Machine learning algorithms; Regularisation; Shape Modelling; Signed distance fields; • computing methodology → shape modeling; Learning algorithms","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-105018520000"
