"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Cited by","DOI","Link","Abstract","Author Keywords","Index Keywords","Document Type","Publication Stage","Open Access","Source","EID"
"Zhang W.; Zhi X.; Jia Q.; Sun Y.; Wu B.; Ji X.; Chen H.","Zhang, Wenjing (59883121300); Zhi, Xulong (60286075700); Jia, Qian (60285578900); Sun, Yang (60285579000); Wu, Bincai (60286578100); Ji, Xiang (60285744000); Chen, Hao (57211735757)","59883121300; 60286075700; 60285578900; 60285579000; 60286578100; 60285744000; 57211735757","A large multitask model for joint text recognition and analysis of medical documents","2025","Proceedings of SPIE - The International Society for Optical Engineering","13970","","139700V","","","0","10.1117/12.3094790","https://www.scopus.com/pages/publications/105026751669?origin=resultslist","Digital health applications face a growing demand for automated archival of medical documents and user-facing QA, yet are often hampered by semantic field errors originating from the misrecognition of document layouts. To address this, we propose a novel multimodal architecture and a multi-paradigm training framework specifically designed for robust medical document understanding. Our approach features a synergistic combination of large and small models, where a lightweight model preemptively filters blank regions to reduce the computational overhead from redundant image tokens. For model training, we design a dedicated reward function and integrate it within a multi-task learning framework enhanced by Reinforcement Learning (RL). This enhances the large model's capacity for learning textual-spatial relationships. Experimental results demonstrate the efficacy of our method. Finally, the accuracy for VQA and OCR tasks on medical bills and physical examination reports increased by 5% and 3%, respectively. Furthermore, our method boosts the average accuracy across categories by 9.69% on the CMedOCR benchmark, which covers four distinct medical invoice types.  © COPYRIGHT SPIE.","Multi-task Learning; Multimodal Large Language Model; Optical Character Recognition; Reinforcement Learning; Reward Function","Computational linguistics; Computer vision; Learning systems; Medical imaging; Multi-task learning; Semantics; Software architecture; Language model; Medical documents; Multi-modal; Multi-task model; Multimodal large language model; Multitask learning; Optical-; Reinforcement learnings; Reward function; Text analysis; Optical character recognition","Conference paper","Final","","Scopus","2-s2.0-105026751669"
"Wang H.; Myint S.; Verma V.; Winetraub Y.; Yang J.; Cidon A.","Wang, Haoda (57847787400); Myint, Steven (35185490400); Verma, Vandi (57213651637); Winetraub, Yonatan (36155882600); Yang, Junfeng (36676080800); Cidon, Asaf (36674660200)","57847787400; 35185490400; 57213651637; 36155882600; 36676080800; 36674660200","Radshield: Software Radiation Protection for Commodity Hardware in Space","2025","International Conference on Architectural Support for Programming Languages and Operating Systems - ASPLOS","1-A","","","219","233","1","10.1145/3760250.3762218","https://www.scopus.com/pages/publications/105036360870?origin=resultslist","Exponentially-declining launch costs have led to an explosion of inexpensive satellites launched to space, often equipped with off-the-shelf chips. These chips, however, lack hardware radiation protection, leaving them vulnerable to space radiation. We thus design Radshield, a software system protecting against the two most ubiquitous and costly radiation fault scenarios: (a) radiation-induced short-circuits that lead to permanent hardware failure; and (b) radiation-induced transient charges that result in single-bit silent data corruption (SDC). Radshield counters these failure scenarios with two components. First, it uses a short-circuit detector that can detect tiny increases in the device’s current draw by estimating the normal current draw when resource utilization is low. Second, it duplicates the execution of spacecraft workloads in a CPU and memory-efficient manner, and catches SDCs even when they affect the CPU’s pipeline or cache. In our experiments, we show Radshield is very effective at preventing both errors, and is 1.4−35.5× more power-efficient than the state-of-the-art protection mechanisms in detecting SDC. Radshield is deployed on missions in low-earth orbit and in deep space. © 2026 Copyright held by the owner/author(s).","fault tolerance; radiation hardening; satellite computing","Computer hardware; Earth (planet); Fault tolerant computer systems; Orbits; Space flight; Commodity hardware; Current draw; Fault scenarios; Hardware failures; Launch costs; Radiation-induced; Satellite computing; Silent data corruptions; Software-systems; Space radiations; Fault tolerance; Radiation hardening","Conference paper","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105036360870"
"Wang S.; Liu X.B.","Wang, Sihan (60263477600); Liu, Xiao Bao (24465376100)","60263477600; 24465376100","Design and Optimization of Vertical Steering Cam Mechanism for IoT Automated Warehouse Shuttle Vehicle Based on MATLAB-SolidWorks","2025","Proceedings of 2025 3rd International Conference on Internet of Things and Cloud Computing Technology, IoTCCT 2025","","","","116","121","0","10.1145/3776865.3776886","https://www.scopus.com/pages/publications/105026338666?origin=resultslist","To address the inflexibility and large pressure angle fluctuations in the steering mechanism of shuttle cars in automated stereoscopic warehouses, this study proposes a vertical cam-based steering mechanism using computer-aided design and simulation. A mathematical model of the cam mechanism is established in MATLAB to derive parametric equations of the cam groove trajectory. Kinematic analysis is performed to examine variations in key parameters such as the pressure angle and contact force. Through parametric analysis and automated optimization in Python, the extreme values of the pressure angle are improved, its fluctuation range is reduced, and the risk of mechanism self-locking is minimized. Three-dimensional modeling and simulation in SolidWorks verify the theoretical design. This study proposes a novel direct steering method for shuttle vehicles based on cam mechanisms, which breaks through the technical limitations of traditional lifting wheel modes. Through parametric design and multi-software collaborative simulation, the dynamic characteristics of the mechanism have been significantly improved, thoroughly resolving the dead point issue during the steering process. Ultimately, the deep integration of mechanism design and IoT technology has been achieved, providing an innovative solution for intelligent warehousing systems. © 2025 Copyright held by the owner/author(s).","Parametric modeling; Pressure angle; Shuttle car; Vertical steering cam mechanism","Automobile steering equipment; Cams; Computer aided design; Locks (fasteners); Machine design; MATLAB; Object oriented programming; Steering; Stereo image processing; Three dimensional computer graphics; Warehouses; Automated warehouse; Cam mechanism; Computer aided simulations; Design and optimization; Parametric models; Pressure angles; Shuttle car; SolidWorks; Steering mechanisms; Vertical steering cam mechanism; Automation","Conference paper","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105026338666"
"Nguyen T.N.; Doan V.H.M.; Vo T.H.; Vu D.D.; Tran L.H.; Vu T.T.H.; Vo T.T.; Nguyen Q.D.; Mondal S.; Choi J.; Lee B.; Oh J.","Nguyen, Trong Nhan (59293540800); Doan, Vu Hoang Minh (57209396763); Vo, Tan Hung (57209102964); Vu, Dinh Dat (57216286576); Tran, Le Hai (57216204269); Vu, Thi Thu Ha (57224006397); Vo, Truong Tien (58640675100); Nguyen, Quoc Dung (59722565100); Mondal, Sudip (57213819965); Choi, Jaeyeop (57205687978); Lee, Byeongil (55636128000); Oh, Junghwan (55730193800)","59293540800; 57209396763; 57209102964; 57216286576; 57216204269; 57224006397; 58640675100; 59722565100; 57213819965; 57205687978; 55636128000; 55730193800","Image-enhanced generative model for industrial scanning acoustic super-resolution in non-destructive testing","2025","Engineering Applications of Artificial Intelligence","162","","112500","","","4","10.1016/j.engappai.2025.112500","https://www.scopus.com/pages/publications/105019780663?origin=resultslist","Despite significant progress in super-resolution (SR) studies using generative adversarial networks (GANs), the application of these technologies in industrial non-destructive testing (NDT) remains limited owing to the strict requirements. The scarcity of training datasets in this field, primarily due to the confidentiality of scanning images and their inherently low visual diversity, often results in poor SR performance. Meanwhile, the demand for high-resolution (HR) imaging within short acquisition times remains critical in industrial contexts. To address this, we introduce an approach to generate synthetic low-resolution (LR) datasets from HR images using a high-order degradation model. In addition, we propose the Scanning Acoustic Microscopy Generative Adversarial Network (SAMGAN) framework, a model designed to improve the resolution of industrial ultrasound images. The SAMGAN model incorporates transfer learning and a dynamic loss function that combines pixel-wise, perceptual, and adversarial losses. While the quantitative evaluation of the synthetic training dataset remains a challenge, our method achieves an average Peak Signal-to-Noise Ratio (PSNR) of 33.978 dB and Structural Similarity Index Measure (SSIM) of 0.906 on industrial testing data, representing 10.93 % and 5.1 % improvement, respectively, over the most competitive baseline models. Integrated into scalable web-based and software deployment frameworks, SAMGAN enables up to a 47.2 % reduction in scanning time without sacrificing image fidelity. These results highlight SAMGAN's practical feasibility as a deployable tool for accelerating HR inspection workflows across industrial environments. To further improve the model's generalizability, future work will focus on addressing the limitations of synthetic data fidelity through enhanced degradation modelling and broader validation. Copyright © 2025. Published by Elsevier Ltd.","Generative adversarial network; Model deployment; Scanning acoustic microscopy; Super resolution; Synthetic dataset","Acoustic variables measurement; Bridge decks; Nondestructive examination; Statistical tests; Transfer learning; Ultrasonic applications; Adversarial networks; Degradation model; Generative model; Model deployment; Non destructive testing; Performance; Scanning Acoustic Microscopy; Superresolution; Synthetic datasets; Training dataset; Optical resolving power","Article","Final","","Scopus","2-s2.0-105019780663"
"Hamza M.; Akbar M.A.; Smolander K.; Khan A.","Hamza, Muhammad (57209011071); Akbar, Muhammad Azeem (57200183503); Smolander, Kari (6602550741); Khan, Arif (26434399300)","57209011071; 57200183503; 6602550741; 26434399300","Security Perspective of Open-Source Serverless Platforms: An Empirical Investigation","2025","Proceedings of the 29th International Conference on Evaluation and Assessment in Software Engineering , EASE, 2025 edition, EASE Companion 2025","","","","152","161","0","10.1145/3727967.3756839","https://www.scopus.com/pages/publications/105026958871?origin=resultslist","Serverless architecture has gained significant traction due to its scalability, cost efficiency, and reduced operational overhead. However, despite its advantages, serverless architectures introduce unique security issues that developers encounter when developing applications with open-source serverless platforms. While prior research has explored security concerns in proprietary serverless platforms, there is limited empirical analysis of security issues in open-source serverless platforms based on real-world developer discussions. This study systematically examines 88 security-related issues from GitHub repositories of 10 open-source serverless platforms to identify common security issues, their underlying causes, and potential solutions. Our findings reveal that certificate & encryption, permissions & role management, and security & authentication are the most frequently reported issues in the developers' discussion. The primary causes of these issues include misconfigurations, inadequate access controls, and dependency-related failures. To address these issues, we identified mitigation strategies such as enhanced security configurations, improved IAM policies, and automated certificate management. The study offers valuable insights for both researchers and practitioners by providing an empirical foundation for improving security practices when developing applications with these open-source serverless platforms. © 2025 Copyright held by the owner/author(s).","Empirical analysis; GitHub; Security; Serverless architecture","Architecture; Authentication; Copyrights; Open source software; Open systems; Cost-efficiency; Empirical analysis; Empirical investigation; Github; Open-source; Operational Overheads; Real-world; Security; Security issues; Serverless architecture; Cryptography","Conference paper","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105026958871"
"Jones T.; Carns P.","Jones, Terry (55732130900); Carns, Philip (6507336251)","55732130900; 6507336251","STEP: Software Tools Ecosystem Project","2025","54th International Conference on Parallel Processing, ICPP 2025 - Workshops Proceedings","","","","216","217","0","10.1145/3750720.3757305","https://www.scopus.com/pages/publications/105026450397?origin=resultslist","The US DOE has recently funded a new project that considers this interesting question: as new machines become available, how can software teams ensure that they are achieving efficient use of their machine allocations? The project, which is called Software Tools Ecosystem Project, or STEP, is focused on the collection of software tools and utilities that can be applied to both understanding performance bottlenecks and facilitating run time mitigation of performance degrading phenomena1. STEP ensures the health of these tools and fosters the research and development community that implements them. In this poster, we present our efforts to provide effective performance tools, including our goals and our challenges.  © 2025 Copyright held by the owner/author(s).","Coding Tools and Techniques; Computer systems monitoring and analytics; Software engineering metrics","Computer programming; Computer software; Coding techniques; Coding tools; Computer system monitoring and analytic; Machine allocation; New projects; Software engineering metrics; Software teams; Software-tools; System monitoring; Tools and techniques; Computer aided software engineering","Conference paper","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105026450397"
"Santos R.; Prado R.; De Holanda Silva A.P.; Gama K.; Castor F.; De Souza Santos R.","Santos, Reydne (58104126200); Prado, Rafa (57220958608); De Holanda Silva, Ana Paula (58718201100); Gama, Kiev (26029426300); Castor, Fernando (54945662000); De Souza Santos, Ronnie (57485848700)","58104126200; 57220958608; 58718201100; 26029426300; 54945662000; 57485848700","Understanding Underrepresented Groups in Open Source Software","2025","Proceedings of the 29th International Conference on Evaluation and Assessment in Software Engineering , EASE, 2025 edition, EASE 2025","","","","919","928","1","10.1145/3756681.3757051","https://www.scopus.com/pages/publications/105026964077?origin=resultslist","Context: Diversity can impact team communication, productivity, cohesiveness, and creativity. Analyzing the existing knowledge about diversity in open source software (OSS) projects can provide directions for future research and raise awareness about barriers and biases against underrepresented groups in OSS. Objective: This study aims to analyze the knowledge about minority groups in OSS projects. We investigated which groups were studied in the OSS literature, the study methods used, their implications, and their recommendations to promote the inclusion of minority groups in OSS projects. Method: To achieve this goal, we performed a systematic literature review study that analyzed 42papers that directly study underrepresented groups in OSS projects. Results: Most papers focus on gender (62.3%), while others like age or ethnicity are rarely studied. The neurodiversity dimension, have not been studied in the context of OSS. Our results also reveal that diversity in OSS projects faces several barriers but brings significant benefits, such as promoting safe and welcoming environments. Conclusion: Most analyzed papers adopt a myopic perspective that sees gender as strictly binary. Dimensions of diversity that affect how individuals interact and function in an OSS project, such as age, tenure, and ethnicity, have received very little attention. © 2025 Copyright held by the owner/author(s).","Diversity; Open Source; Systematic literature review.; Underrepresented groups; Underrepresented Populations","Open systems; Diversity; Minority groups; Open source software projects; Open-source; Open-source softwares; Systematic literature review; Systematic literature review.; Team communication; Under-represented groups; Underrepresented population; Open source software","Conference paper","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105026964077"
"Derafshkavian P.","Derafshkavian, Peyman (57221599765)","57221599765","Proposal of the Assessment of the 4-Workflow Model for Secure Agile Process Practices","2025","Proceedings of the 29th International Conference on Evaluation and Assessment in Software Engineering , EASE, 2025 edition, EASE 2025","","","","852","857","1","10.1145/3756681.3757047","https://www.scopus.com/pages/publications/105026931036?origin=resultslist","In today's fiercely competitive business landscape, organizations must operate with speed and foster innovation. Consequently, the majority of businesses have embraced an agile development approach. However, the heightened pace of development presents various vulnerabilities for exploitation by cybercriminals, particularly when the security of software lifecycle processes is neglected or deferred to reactionary methods after compromises take place. To address this challenge, the solution lies in advocating for a light-weight framework where security receives its essential needed attention from all aspects of the process: requirements and sprint, dependencies management, deployment process, and incident and response management. Therefore, we give a background on our 4-workflow solution, followed by a detailed survey on the recent multivocal literature on how to assess this solution in practice and we produced a resulting evaluation methodology and a taxonomy of tools and metrics. © 2025 Copyright held by the owner/author(s).","agile process security; metrics; workflow model","Agile manufacturing systems; Information systems; Information use; Workflow management; Agile development; Agile process; Agile process security; Competitive business; Cybercriminals; Development approach; Metric; Process security; Software life cycles; Workflow models; Life cycle","Conference paper","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105026931036"
"Qu F.; Shen P.; Liao L.; Peng Y.","Qu, Feifan (59144441100); Shen, Pengfei (57354503400); Liao, Li (60248341600); Peng, Yifan (57836323100)","59144441100; 57354503400; 60248341600; 57836323100","""hands-on"" Light Field Display via Engineering Scalable Optics, Algorithms, and Mounts","2025","Proceedings - SIGGRAPH Asia 2025 XR, SA 2025","","","11","","","0","10.1145/3761667.3761957","https://www.scopus.com/pages/publications/105029388763?origin=resultslist","We present a scalable, ""hands-on"" light field display for shared, glasses-free Extended Reality (XR). Our system uses an array of mini-projectors, built from low-cost, off-the-shelf components, to project a 3D light field onto a directional diffuser screen. This provides multiple viewers with vivid scenes featuring continuous motion parallax and correct stereo parallax. Our core technical contributions are a systematic hardware and software pipeline. Hardware precision is bootstrapped using 3D-printed mounts and finalized with a camera-assisted calibration method that compensates for optical and geometric errors. A physically-based ray tracing algorithm ensures the final imagery is realistic. The integration of gesture tracking enables intuitive interaction, demonstrating a practical and accessible approach to building collaborative XR systems. ©2025 Copyright held by the owner/author(s).","calibration; extended reality; Light field display; rendering","Computer hardware; Computer vision; Field emission displays; Geometrical optics; Human computer interaction; Human engineering; Interactive computer graphics; Interactive computer systems; Mountings; Rendering (computer graphics); Stereo image processing; Three dimensional computer graphics; Visualization; Continous motion; Extended reality; Light field displays; Light fields; Low-costs; Motion parallax; Off-the-shelf components; Rendering; Stereo parallax; System use; Calibration","Conference paper","Final","","Scopus","2-s2.0-105029388763"
"Zyberaj D.; Hirmer P.; Aiello M.","Zyberaj, Denesa (59221875200); Hirmer, Pascal (56512389100); Aiello, Marco (8563998100)","59221875200; 56512389100; 8563998100","Using Eclipse OpenDuT for Distributed Automotive Testing","2025","Proceedings of the 29th International Conference on Evaluation and Assessment in Software Engineering , EASE, 2025 edition, EASE 2025","","","","830","833","1","10.1145/3756681.3757013","https://www.scopus.com/pages/publications/105027214136?origin=resultslist","The automotive industry continues to grow increasingly complex, driven by innovations in autonomous driving, connectivity, electrification, and the expansion of software-defined vehicle architectures. Ensuring the reliability of automotive systems through testing is safety-critical, particularly for critical cases such as, for example, in-vehicle child presence detection systems (CPDS). We assess the use of the open-source testing framework Eclipse openDuT in the automotive industry precisely on this case. CPDS uses multiple interconnected Electronic Control Units (ECUs), making effective and comprehensive testing a challenge. Eclipse openDuT addresses these complexities by enabling early-stage distributed integration testing and facilitating reliable verification of interconnected ECU functionalities. In this case study, we describe the architecture, implementation, and our experiences using openDuT in a real-world application, providing an initial qualitative evaluation of its potential. Further, we derive research and development directions regarding automotive testing using Eclipse openDuT. © 2025 Copyright held by the owner/author(s).","automotive; distributed; Eclipse openDuT; open-source; testing","Control systems; Human computer interaction; Human engineering; Open source software; Open systems; Safety engineering; Vehicle detection; Automotive testing; Automotives; Autonomous driving; Detection system; Distributed; Eclipse opendut; Electronics control unit; Open-source; Presence detections; Vehicle architecture; Automotive industry; Integration testing","Conference paper","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105027214136"
"Li Y.; Takahashi R.; Wicaksono I.; Yukita W.; Iwamoto Y.; Lee S.; Yokota T.; Someya T.; Kawahara Y.","Li, Yifan (59484437500); Takahashi, Ryo (55755924300); Wicaksono, Irmandy (57199648740); Yukita, Wakako (56110117700); Iwamoto, Yuhiro (55963845300); Lee, Sunghoon (55947745400); Yokota, Tomoyuki (35365693400); Someya, Takao (24529073400); Kawahara, Yoshihiro (7202786793)","59484437500; 55755924300; 57199648740; 56110117700; 55963845300; 55947745400; 35365693400; 24529073400; 7202786793","Plug-n-play e-knit with LED-based Sensor Positioning","2025","UbiComp Companion 2025 - Companion of the 2025 ACM International Joint Conference on Pervasive and Ubiquitous Computing","","","","1143","1144","0","10.1145/3714394.3756222","https://www.scopus.com/pages/publications/105026979447?origin=resultslist","The prototyping of electronic textiles (e-textiles) is challenging because of the need for complex and time-consuming wiring. This paper presents ''plug-n-play e-knit,'' a prototyping platform, enabling large-area, reconfigurable on-textile sensor networks. Our method uses industrial knitting machines to embed wired power and data wiring throughout a garment with flexible magnetic connectors. This allows for repeated repositioning of on-textile sensors without damaging the textile. Additionally, LED-based CV approach can recognize the sensor's locations and IDs beforehand. We demonstrate that plug-n-play e-knit can provide fast e-textile prototyping over a 2700 cm2 garment area. © 2025 ACM.","e-knit; e-textiles; plug-n-play; pme; prototyping tool; smart clothing; wearable","Computer aided design; Knitting machinery; Sensor networks; Software prototyping; Ubiquitous computing; Wearable sensors; E-knit; plug-n-playS; Pme; Prototyping platform; Prototyping tools; Reconfigurable; Sensor positioning; Smart clothing; Textile sensors; Wearable; Smart textiles","Conference paper","Final","","Scopus","2-s2.0-105026979447"
"Jaberzadeh Ansari M.; Barcomb A.","Jaberzadeh Ansari, Mahdi (60320085600); Barcomb, Ann (56405647900)","60320085600; 56405647900","A Survey for What Developers Require in AI-powered Tools that Aid in Component Selection in CBSD","2025","Proceedings of the 29th International Conference on Evaluation and Assessment in Software Engineering , EASE, 2025 edition, EASE 2025","","","","1","11","1","10.1145/3756681.3756952","https://www.scopus.com/pages/publications/105027215100?origin=resultslist","Although it has been more than four decades that the first components-based software development (CBSD) studies were conducted, there is still no standard method or tool for component selection which is widely accepted by the industry. The gulf between industry and academia contributes to the lack of an accepted tool. We conducted a mixed methods survey of nearly 100 people engaged in component-based software engineering practice or research to better understand the problems facing industry, how these needs could be addressed, and current best practices employed in component selection. We also sought to identify and prioritize quality criteria for component selection from an industry perspective. In response to the call for CBSD component selection tools to incorporate recent technical advances, we also explored the perceptions of professionals about AI-driven tools, present and envisioned. © 2025 Copyright held by the owner/author(s).","CBSD; CBSE; Component Selection; Component-Based Software Development; Component-Based Software Engineering; Development Tools; Industry; Mixed Methods; Survey","Computer software selection and evaluation; Information management; Information use; CBSE; Component selection; Component-based software development; Component-based software engineering; Development study; Development tools; Mixed method; Software engineering practices; Software engineering research; Software design","Conference paper","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105027215100"
"Nkenyereye L.; Lee B.G.; Chung W.-Y.","Nkenyereye, Lionel (57388451000); Lee, Boon Giin (25927191200); Chung, Wan-Young (7401982175)","57388451000; 25927191200; 7401982175","Deep Q-learning with feature extraction and prioritized experience replay for edge node overload in edge computing","2025","Engineering Applications of Artificial Intelligence","162","","112124","","","0","10.1016/j.engappai.2025.112124","https://www.scopus.com/pages/publications/105016867578?origin=resultslist","Keeping track of the edge nodes’ status information is crucial, which is the condition of their available compute capacity as measured by their Age-of-Information. In Internet of Things-oriented edge computing systems, the computational and software-defined infrastructure resources are heterogeneous and subject to rapid change. Edge computing systems often face dynamic workloads and limited computational resources, leading to frequent node overload scenarios. These overloads degrade system responsiveness and service availability, especially in latency-sensitive applications. The scheduling of computation tasks would consider both current resource availability and predicted overload risks. An intelligent, adaptive method that learns optimal task allocation under resource constraints has the potential to boost the operational efficiency of Internet of Things-oriented edge computing systems. Addressing edge node overload is critical for the sustainable and scalable deployment of edge-based infrastructures. This research designs a resource-overloaded detection model specifically for diverse workloads in edge computing systems. The proposed Deep Reinforcement Learning model explores two significant challenges: the selection of pertinent feature sets from the workload resource utilization storage, and their classification of overload and detection of fatal failure of edge computing nodes. We propose a Deep-Q Network with a prioritized experience replay framework for edge node resource overload. The framework relies on feature learning using Linear Discriminant Analysis and Deep Q Network with a prioritized experience replay to efficiently indicate the overload status of edge nodes and reward the system with actions that enhance edge resources allocation. Deep-Q Network is well-suited for sequential decision-making in dynamic environments, while prioritized experience replay improves sample efficiency by focusing on updating on high-priority transitions with larger temporal-difference errors. Features are learned automatically from the edge node resource profiling data generated on a real edge-based container infrastructure. Linear Discriminant Analysis reduces the high-dimensional state space by emphasizing the most discriminative features for scheduling decisions. The infrastructure executes an intelligent inference of containerized applications considered as resource-intensive applications. When the feature extraction is added to the proposed deep reinforcement learning model, the overload classifier's performance is improved. Comparing the model with selection to the one without it, the total accuracy and F1-score were improved by 1.3% and 1.4%, respectively. © 2025 Elsevier Ltd","Containerized edge applications; Deep reinforcement learning; Edge computing; Edge node overload; Feature extraction; Internet of Things; Prioritized experience replay; Resource overload","Computational efficiency; Containers; Decision making; Deep learning; Deep reinforcement learning; Digital storage; Discriminant analysis; Edge computing; Edge detection; Extraction; Internet of things; Quality of service; Resource allocation; Computing system; Containerized edge application; Edge computing; Edge node overload; Edge nodes; Experience replay; Features extraction; Prioritized experience replay; Reinforcement learnings; Resource overload; Feature extraction","Article","Final","","Scopus","2-s2.0-105016867578"
"Shameem M.; Niazi M.; Mahmood S.; Nadeem M.","Shameem, Mohammad (57197706146); Niazi, Mahmood (14045585000); Mahmood, Sajjad (8644998900); Nadeem, Mohammad (57141925600)","57197706146; 14045585000; 8644998900; 57141925600","Embedding Security Practices into Taxonomy of DevOps Practices","2025","Proceedings of the 29th International Conference on Evaluation and Assessment in Software Engineering , EASE, 2025 edition, EASE Companion 2025","","","","22","27","0","10.1145/3727967.3756844","https://www.scopus.com/pages/publications/105026921347?origin=resultslist","DevOps practices' emergence into software development has revolutionized efficiency and agility in the development lifecycle. However, as organizations adopt DevOps, there is growing acceptance of the imperative to integrate security practices into the DevOps workflow. Traditionally, security practices were often implemented as standalone processes, but integration across the entire pipeline is imperative in the fast-paced DevOps environment. This research proposes a methodology to integrate DevOps and security practices to embed security seamlessly throughout the DevOps lifecycle. Our approach focuses on selecting, assessing compatibility, and incorporating security practices. First, we identify two distinct categories of practices. The nineteen DevOps Security practices were drawn from the prior studies focused on developing a framework for implementing DevOps practices, and eighteen security practices were chosen from a previous study aimed at constructing a framework for successful DevSecOps operation in software development organizations. Moreover, we also integrated ten security practices distributed among the distinct phases of the DevOps lifecycle that are highly compatible with DevOps practices. © 2025 Copyright held by the owner/author(s).","Challenges; DevOps; DevOps as a service; Empirical Studies; Mixed Methods","Life cycle; Software design; Challenge; Devops as a service; Embedding security; Empirical studies; Mixed method; Security Practice; Software development organizations; Work-flows; DevOps","Conference paper","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105026921347"
"Zhang Q.; Li J.; Lin J.; Ding J.; Lin L.; Qian C.","Zhang, Qingyu (59235422300); Li, Junzhe (59234871400); Lin, Jiayi (57210387213); Ding, Jie (59234496900); Lin, Lanteng (59234132100); Qian, Chenxiong (56226182900)","59235422300; 59234871400; 57210387213; 59234496900; 59234132100; 56226182900","WizardMerge—Save Us from Merging without Any Clues","2025","ACM Transactions on Software Engineering and Methodology","35","1","22","","","0","10.1145/3731751","https://www.scopus.com/pages/publications/105028037694?origin=resultslist","Modern software development necessitates efficient version-oriented collaboration among developers. While Git is the most popular version control system, it generates unsatisfactory version merging results due to textual-based workflow, leading to potentially unexpected results in the merged version of the project. Although numerous merging tools have been proposed for improving merge results, developers remain struggling to resolve the conflicts and fix incorrectly modified code without clues. We present WizardMerge, an auxiliary tool that leverages merging results from Git to retrieve code block dependency on text and LLVM Intermediate Representation level and provide suggestions for developers to resolve errors introduced by textual merging. Rather than directly resolving these errors, the suggestions provide pigeonholed code blocks with their relevance and prioritized order within each category. To this end, developers can address the specific locations of these issues without manually analyzing their dependencies, thereby reducing the time and effort spent on conflict resolution tasks. Through the evaluation, we subjected WizardMerge to testing on 227 conflicts within five large-scale projects. The outcomes demonstrate that WizardMerge diminishes conflict merging time costs, achieving a 23.85% reduction. Beyond addressing conflicts, WizardMerge provides useful code block classifications and resolving orders for over 70% of the code blocks potentially affected by the conflicts. Notably, WizardMerge exhibits the capability to identify conflict-unrelated code blocks that require manual intervention yet are harmfully applied by Git during the merging. © 2025 Copyright is held by the owner/author(s). Publication rights licensed to ACM.","Code merging; Static analysis; Version control","Block codes; Human engineering; Software design; Code blocks; Code merging; Conflict Resolution; Intermediate representations; Specific location; Textual merging; Version control; Version control system; Version merging; Work-flows; Merging","Article","Final","","Scopus","2-s2.0-105028037694"
"Doorn N.; Vos T.E.J.; Marín B.; Van Diggelen M.","Doorn, Niels (57270863500); Vos, Tanja E. J. (8980537100); Marín, Beatriz (24481674800); Van Diggelen, Migchiel (57031799200)","57270863500; 8980537100; 24481674800; 57031799200","Puzzle-based learning for developing software testing skills","2025","Proceedings of the 29th International Conference on Evaluation and Assessment in Software Engineering , EASE, 2025 edition, EASE Companion 2025","","","","202","212","2","10.1145/3727967.3756829","https://www.scopus.com/pages/publications/105026947855?origin=resultslist","Software testing requires critical thinking, experimentation, and modelling, yet traditional education often lacks sufficient engagement to develop these skills effectively. This paper introduces a puzzle-based learning approach to strengthen key testing competencies. Each exercise challenges assumptions and biases while fostering creativity and mirroring real-world testing demands. Integrating these puzzles into education enhances engagement and bridges the gap between theory and practice. Future work aims to expand this collection into a comprehensive Body of Knowledge (BoK). © 2025 Copyright held by the owner/author(s).","Body of Knowledge; puzzle-based learning; software testing","Body of knowledge; Critical thinking; Learning approach; Puzzle-based learning; Real-world testing; Software testings; Theory and practice; Traditional educations; Software testing","Conference paper","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105026947855"
